Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
27308,The Spiral Staircase: My Climb Out of Darkness,Karen Armstrong,"Armstrong, Karen",,"=""0385721277""","=""9780385721271""",0,Knopf Doubleday Publishing Group,Paperback,306,2005,2004,,2024/06/20,on-the-bookshelf,on-the-bookshelf (#78),on-the-bookshelf,,,,0,0
28025,"The Myth of the Eternal Return or, Cosmos and History",Mircea Eliade,"Eliade, Mircea",Willard R. Trask,"=""0691017778""","=""9780691017778""",0,Princeton / Bollingen,Paperback,195,1974,1949,,2024/04/28,on-the-bookshelf,on-the-bookshelf (#77),on-the-bookshelf,,,,0,0
4950018,What Matters Most: Living a More Considered Life,James Hollis,"Hollis, James",,"=""1592404200""","=""9781592404209""",0,Gotham,Hardcover,288,2008,2008,,2024/06/13,on-the-bookshelf,on-the-bookshelf (#76),on-the-bookshelf,,,,0,0
75665931,The Maniac,Benjamín Labatut,"Labatut, Benjamín",,"=""0593654471""","=""9780593654477""",4,Penguin Press,Hardcover,368,2023,2023,2024/06/17,2024/05/21,,,read,,,,1,0
768148,The Water of Life: Initiation and the Tempering of the Soul,Michael Meade,"Meade, Michael",,"=""0976645041""","=""9780976645047""",0,GreenFire Press,Paperback,396,2019,2006,,2024/06/12,to-read,to-read (#47),to-read,,,,0,0
162332,The Sailor Who Fell from Grace with the Sea,Yukio Mishima,"Mishima, Yukio",John Nathan,"=""""","=""""",5,Vintage,Paperback,181,1994,1963,2024/06/10,2024/06/09,,,read,,,,1,0
17961,Collected Fictions,Jorge Luis Borges,"Borges, Jorge Luis",Andrew Hurley,"=""""","=""""",0,Penguin Classics,Paperback,565,1999,1998,,2024/04/19,on-the-bookshelf,on-the-bookshelf (#75),on-the-bookshelf,,,,0,0
180671,Ego and Archetype: Individuation and the Religious Function of the Psyche,Edward F. Edinger,"Edinger, Edward F.",,"=""""","=""""",3,Shambhala,Paperback,304,1992,1972,2024/06/07,2024/05/03,,,read,,,,1,0
6476509,The Invention of the Jewish People,Shlomo Sand,"Sand, Shlomo",Yael Lotan,"=""1844674223""","=""9781844674220""",0,Verso,Hardcover,332,2009,2008,,2024/05/28,on-the-bookshelf,on-the-bookshelf (#74),on-the-bookshelf,,,,0,0
823733,"The Creation of Consciousness: Jung's Myth for Modern Man (Studies in Jungian Psychology by Jungian Analysts, 14)",Edward F. Edinger,"Edinger, Edward F.",,"=""0919123139""","=""9780919123137""",0,Inner City Books,Paperback,128,1984,1984,,2024/06/05,to-read,to-read (#46),to-read,,,,0,0
669028,The Trickster and the Paranormal,George P. Hansen,"Hansen, George P.",,"=""1401000827""","=""9781401000820""",0,Xlibris US,Paperback,566,2001,2001,,2024/06/04,to-read,to-read (#45),to-read,,,,0,0
62069739,When We Cease to Understand the World,Benjamín Labatut,"Labatut, Benjamín",Adrian Nathan West,"=""""","=""""",5,New York Review Books,Kindle Edition,193,2022,2020,2024/06/01,2024/06/01,,,read,,,,1,0
53000876,Contact,Carl Sagan,"Sagan, Carl",,"=""""","=""""",5,Simon & Schuster,Kindle Edition,456,2016,1985,2024/05/30,2024/05/24,,,read,,,,1,0
27317,"Confucian Analects, The Great Learning & The Doctrine of the Mean",Confucius,"Confucius, Confucius",James Legge,"=""0486227464""","=""9780486227467""",0,Dover,Paperback,528,1971,2013,,2024/05/27,to-read,to-read (#44),to-read,,,,0,0
15820216,The Study Quran: A New Translation and Commentary,Seyyed Hossein Nasr,"Nasr, Seyyed Hossein","Caner K. Dagli, Maria Massi Dakake, Joseph E.B. Lumbard, Mohammed Rustom","=""0062227629""","=""9780062227621""",0,HarperOne,Unknown Binding,2048,2015,2015,,2024/02/23,on-the-bookshelf,on-the-bookshelf (#73),on-the-bookshelf,,,,1,0
23252362,Quran in English: Modern English Translation. Clear and Easy to Understand.,Talal Itani,"Itani, Talal",,"=""""","=""""",0,ClearQuran.Com,Kindle Edition,293,2014,2014,,2024/02/23,on-the-bookshelf,on-the-bookshelf (#72),on-the-bookshelf,,,,1,0
612188,"Memories, Dreams, Reflections",C.G. Jung,"Jung, C.G.","Clara Winston, Richard Winston, Aniela Jaffé","=""0679723951""","=""9780679723950""",4,Vintage,Paperback,430,1989,1962,2024/05/22,2024/04/29,,,read,,,,1,0
10638,The Road to Reality: A Complete Guide to the Laws of the Universe (Vintage),Roger Penrose,"Penrose, Roger",,"=""0679776311""","=""9780679776314""",0,Vintage,Paperback,1099,2007,2004,,2024/05/20,to-read,to-read (#43),to-read,,,,0,0
70535,"2001: A Space Odyssey (Space Odyssey, #1)",Arthur C. Clarke,"Clarke, Arthur C.",,"=""""","=""""",5,Roc,Paperback,297,2000,1968,2024/05/20,2024/05/20,,,read,,,,1,0
15916,The True Believer: Thoughts on the Nature of Mass Movements,Eric Hoffer,"Hoffer, Eric",,"=""0060505915""","=""9780060505912""",0,Harper Perennial Modern Classics,Paperback,177,2002,1951,,2024/05/18,to-read,to-read (#42),to-read,,,,0,0
589278,He: Understanding Masculine Psychology,Robert A. Johnson,"Johnson, Robert A.",,"=""0060963964""","=""9780060963965""",4,Harper Perennial,Paperback,83,1989,1974,2024/04/29,2024/04/29,,,read,,,,1,0
204773,Under Saturn's Shadow: The Wounding and Healing of Men,James Hollis,"Hollis, James",,"=""0919123643""","=""9780919123649""",5,Inner City Books,Paperback,144,1994,1994,2024/05/07,2024/05/03,,,read,,,,1,0
1404609,"The Problem of the Puer Aeternus (Studies in Jungian Psychology by Jungian Analysts, 87)",Marie-Louise von Franz,"Franz, Marie-Louise von",,"=""0919123880""","=""9780919123885""",0,Inner City Books,Paperback,288,2000,1970,,2024/05/03,to-read,to-read (#41),to-read,,,,0,0
123632,Man and His Symbols,C.G. Jung,"Jung, C.G.","Joseph L. Henderson, Aniela Jaffé, Jolande Jacobi, Marie-Louise von Franz, John    Freeman","=""0440351839""","=""9780440351832""",0,Dell,Mass Market Paperback,415,1968,1964,,2024/04/29,to-read,to-read (#40),to-read,,,,0,0
22478,The Origin of Consciousness in the Breakdown of the Bicameral Mind,Julian Jaynes,"Jaynes, Julian",,"=""0618057072""","=""9780618057078""",0,Mariner Books,Paperback,491,2000,1976,,2024/04/28,to-read,to-read (#39),to-read,,,,0,0
22545857,The Worm at the Core: On the Role of Death in Life,Sheldon Solomon,"Solomon, Sheldon","Jeff Greenberg, Tom Pyszczynski","=""1400067472""","=""9781400067473""",0,Random House,Hardcover,274,2015,,,2024/04/28,to-read,to-read (#38),to-read,,,,0,0
162757,Escape from Evil,Ernest Becker,"Becker, Ernest",,"=""0029024501""","=""9780029024508""",5,Free Press,Paperback,208,1985,1975,2024/04/28,2024/04/23,,,read,,,,1,0
